"Tradename";"License #";"UBI";"Street Address";"Suite/Rm";"City";"State";"County";"ZipCode";"PrivDesc";"PrivilegeStatus";"DayPhone"
"BEE KIND                                     ";"421480";"6033993110010002";"11420 E SPRAGUE AVE STE C     ";"                         ";"SPOKANE VALLEY          ";"WA";"SPOKANE";"992065224";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BELLA SOLE                                   ";"420290";"6030954980010002";"19501 STATE ROUTE 127         ";"                         ";"LACROSSE                ";"WA";"WHITMAN";"991438709";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BELLEVUE MARIJUANA                           ";"415253";"6033504230010001";"614 116TH AVE NE              ";"                         ";"BELLEVUE                ";"WA";"KING";"980045206";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"4254535749"
"BELLEVUE QUALITY                             ";"420466";"6031002550010003";"12700 BEL RED RD              ";"                         ";"BELLEVUE                ";"WA";"KING";"980052626";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BELLINGHAM MARIJUANA                         ";"422612";"6035966060010001";"5463 GUIDE MERIDIAN RD        ";"                         ";"BELLINGHAM              ";"WA";"WHATCOM";"982269771";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BERSTLER FARM                                ";"420847";"6035513760010001";"14416 S MURPHY RD             ";"                         ";"CHENEY                  ";"WA";"SPOKANE";"990049041";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BEST BUDS                                    ";"420851";"6032447230010002";"1820 CRESWELL RD              ";"                         ";"SNOHOMISH               ";"WA";"SNOHOMISH";"982907605";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BEST BUDS                                    ";"421589";"6035689480010001";"708 LINCOLN AVE APT 2         ";"                         ";"SNOHOMISH               ";"WA";"SNOHOMISH";"982902451";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BEST PEACE OF GLASS                          ";"422067";"6035829780010001";"960 VALLEY MALL PKWY          ";"                         ";"EAST WENATCHEE          ";"WA";"DOUGLAS";"988027655";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BEST PEACE OF GLASS                          ";"422275";"6035829780010002";"21655 RENTON MAPLE VALLEY RD  ";"STE B                    ";"MAPLE VALLEY            ";"WA";"KING";"980388009";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BETTER BUDS                                  ";"421709";"6035924360010001";"841 NESS CORNER RD            ";"STE B                    ";"PORT HADLOCK            ";"WA";"JEFFERSON";"983399572";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"3607316611"
"BEV'S BUDS                                   ";"420483";"6033596930010002";"12525 WILLOWS RD NE STE 70    ";"                         ";"KIRKLAND                ";"WA";"KING";"980348700";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BHANG 420                                    ";"421495";"6035662810010001";"4418 130TH ST SE STE B        ";"                         ";"EVERETT                 ";"WA";"SNOHOMISH";"982089645";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BIG BUDDAS COLLECTIVE MEDS                   ";"420823";"6032291760010001";"4231 OLYMPIC DR W HWY 3       ";"                         ";"BREMERTON               ";"WA";"KITSAP";"983120000";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BIG CITY, LLC                                ";"420895";"6032545370010003";"17917 VASHON HWY SW           ";"                         ";"VASHON                  ";"WA";"KING";"980705204";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BIG CITY, LLC                                ";"422714";"6032545370010004";"18824 SMOKEY POINT BLVD # C   ";"                         ";"ARLINGTON               ";"WA";"SNOHOMISH";"982234261";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BIG CITY, LLC                                ";"422795";"6032545370010005";"2805 6TH AVE STE C            ";"                         ";"TACOMA                  ";"WA";"PIERCE";"984066707";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BIGTROPHY ENTERPRISES                        ";"420338";"6020200610010006";"401 RAINER AVE N STE 1        ";"                         ";"RENTON                  ";"WA";"KING";"980575319";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"4257652935"
"BK'S GREENS                                  ";"420685";"6035506470010001";"8909 14TH AVE S               ";"STE F                    ";"SEATTLE                 ";"WA";"KING";"981084818";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BLACK KETTLE MANAGEMENT                      ";"420813";"6034829780010001";"2607 SOUTH TACOMA WAY STE B   ";"                         ";"TACOMA                  ";"WA";"PIERCE";"984097525";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BLAZE & STONE LLC                            ";"421318";"6035512230010001";"6620 N MARKET ST STE 200      ";"                         ";"SPOKANE                 ";"WA";"SPOKANE";"992177809";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BLOOMIN BUDS, LLC                            ";"421066";"6035559850010001";"3828 N LYNDEN RD              ";"                         ";"OTIS ORCHARDS           ";"WA";"SPOKANE";"990279375";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BLOSSOM GARDENS                              ";"421125";"6035571530010001";"437 E PENNY RD                ";"                         ";"WENATCHEE               ";"WA";"CHELAN";"988015944";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BLOWIN SMOKE                                 ";"422202";"6030688930010003";"1967 HIGHWAY 395 S STE C      ";"                         ";"CHEWELAH                ";"WA";"STEVENS";"991099708";"MEDICAL ENDORSEMENT                ";"PENDING (ISSUED)";"5099357420"
"BLUE DREAM                                   ";"421496";"6035662850010001";"4418 130TH ST SE  STE C       ";"                         ";"EVERETT                 ";"WA";"SNOHOMISH";"982089645";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BLUEBERRY                                    ";"422179";"6035871410010001";"14800 TUKWILA INTER. BLVD     ";"                         ";"TUKWILA                 ";"WA";"KING";"98168    ";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BOGARTS                                      ";"421569";"6035501860010001";"321 W INDIANA AVE             ";"                         ";"SPOKANE                 ";"WA";"SPOKANE";"992054717";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BONANZA BUDS                                 ";"422930";"6034341980010004";"1215 N LAKE SAMISH DR UNIT 1  ";"                         ";"BELLINGHAM              ";"WA";"WHATCOM";"982299310";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BONJOUR NU CENTURY                           ";"420347";"6035498780010001";"10223 LAKE CITY WAY NE        ";"UNIT 5                   ";"SEATTLE                 ";"WA";"KING";"981257735";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BOYDEN INVESTMENT GROUP II                   ";"422703";"6036022830010001";"710 W FRANCIS AVE             ";"                         ";"SPOKANE                 ";"WA";"SPOKANE";"992056408";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BRANDON WILLIAM CHRISTY                      ";"422449";"6033496850010002";"3312 W NOB HILL BLVD  STE C   ";"                         ";"YAKIMA                  ";"WA";"YAKIMA";"989024961";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BRANDYS ANTIQUES                             ";"414558";"6032410690010002";"400 BURDIN AVE                ";"                         ";"GRAND COULEE            ";"WA";"GRANT";"991330000";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"5096332453"
"BREAKING BUD                                 ";"420320";"6035497470010001";"1506 N PINES RD               ";"                         ";"SPOKANE VALLEY          ";"WA";"SPOKANE";"992064945";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BRIAN NIXON CONST                            ";"421106";"6006376790010002";"350 STATE ROUTE 281 N         ";"                         ";"QUINCY                  ";"WA";"GRANT";"988488828";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BRIER MEDZ                                   ";"421192";"6033517940010002";"20925 CYPRESS WAY # 101A      ";"                         ";"LYNNWOOD                ";"WA";"SNOHOMISH";"980367989";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BRIGHTON BAY 2, LLC                          ";"422414";"6035122630010001";"111 6TH ST S                  ";"                         ";"KIRKLAND                ";"WA";"KING";"980336771";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BRIGHTON BAY 2, LLC                          ";"422706";"6035122630010002";"12223 MUKILTEO SPEEDWAY       ";"                         ";"LYNNWOOD                ";"WA";"SNOHOMISH";"980871542";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BRIGHTON BAY 2, LLC                          ";"422707";"6035122630010003";"1530 E FRANCIS AVE STE B      ";"                         ";"SPOKANE                 ";"WA";"SPOKANE";"992082738";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BROTHER DON'S MARIJUANA STORE                ";"414974";"6016299910010004";"4200 KITSAP WAY  STE A        ";"                         ";"BREMERTON               ";"WA";"KITSAP";"983122448";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BRUCE'S BEST, LLC                            ";"422783";"6036035350010001";"4770 PACIFIC HWY STE G        ";"                         ";"BELLINGHAM              ";"WA";"WHATCOM";"982269049";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BRUCE'S BEST, LLC                            ";"422802";"6036035350010002";"4770 PACIFIC HWY STE E        ";"                         ";"BELLINGHAM              ";"WA";"WHATCOM";"982269049";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BUD BOUQUETS, INC.                           ";"421222";"6033547460010003";"8010 15TH AVE NW              ";"                         ";"SEATTLE                 ";"WA";"KING";"981173601";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BUD BROTHERS                                 ";"421590";"6035689500010001";"115 W SEVENTH ST              ";"                         ";"ROSALIA                 ";"WA";"WHITMAN";"991708625";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BUD BUNGALOW                                 ";"421461";"6035647710010001";"3606 E OLIVE AVENUE           ";"                         ";"SPOKANE VALLEY          ";"WA";"SPOKANE";"99202    ";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BUD COMMANDER                                ";"413802";"6033518190010001";"849 TROSPER RD SW STE 207     ";"                         ";"TUMWATER                ";"WA";"THURSTON";"985128145";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"3606881709"
"BUD COMMANDER TONASKET STATION               ";"364680";"6033518190010002";"305 W 4TH ST                  ";"                         ";"TONASKET                ";"WA";"OKANOGAN";"988559278";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BUD EMPORIUM                                 ";"421772";"6013400850010002";"3101 OAKES AVE                ";"                         ";"EVERETT                 ";"WA";"SNOHOMISH";"982014405";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BUD HUT                                      ";"413901";"6033591690010001";"1131 E STATE ROUTE 532        ";"                         ";"CAMANO ISLAND           ";"WA";"ISLAND";"982828833";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"4254789928"
"BUD HUT                                      ";"415361";"6033525070010003";"8142 HIGHWAY 14               ";"                         ";"LYLE                    ";"WA";"KLICKITAT";"986350000";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"4254781077"
"BUD HUT                                      ";"422332";"6035726930010004";"70 SALTSPRING DR              ";"UNIT 2A                  ";"FRIDAY HARBOR           ";"WA";"SAN JUAN";"982509062";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BUD HUT                                      ";"422781";"6036026430010002";"200 SUZANNE LANE STE D        ";"                         ";"MOUNT VERNON            ";"WA";"SKAGIT";"982739514";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BUD LIFE                                     ";"420669";"6035514470010001";"1520 CHEYNE RD                ";"                         ";"ZILLAH                  ";"WA";"YAKIMA";"989539255";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"BUDDY'S                                      ";"413893";"6033590560010001";"430 SUNSET BLVD NE STE A      ";"                         ";"RENTON                  ";"WA";"KING";"980575512";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"4254080395"
"BUDEEZ                                       ";"420661";"6035688640010001";"2111 E 11TH ST                ";"                         ";"BREMERTON               ";"WA";"KITSAP";"983104810";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"3606207114"
